idConference	CONF	SC4R Rank	NPC Rank	NCC Rank
434	HICSS 	2	1	5
832	DEXA 	6	2	11
1290	ICDE 	4	3	3
2972	ICEIS 	9	4	32
829	CIKM 	7	5	7
835	VLDB 	1	6	1
3017	CSCWD 	14	7	35
844	SIGMOD 	3	8	2
2948	ER (OOER) 	8	9	6
2945	OTM 	15	10	26
3075	BMEI 	21	11	224.5
2640	CAiSE 	12	12	12
2959	GI	22	13	105
71	AFIPS 	13	14	27
846	DASFAA 	18	15	28
953	ISWC 	10	16	9
2952	ECIS 	24	17	37
77	PODS 	5	18	4
2922	ICIS 	19	19	21
1383	EDBT 	11	20	8
2718	SSDBM 	16	21	15
3052	WAIM 	31	22	63
2921	GIS 	20	23	17
3022	DGO 	30	24	60.5
2992	ADBIS 	29	25	34
3044	IIWAS 	39	26	119
2935	IDEAS 	26	27	29
3038	IFIP TC5/WG5.5 Publications	38	28	67
127	ICSOC 	27	29	30
2940	ICEBE 	42	30	79
2941	BPM 	28	31	24
1283	ESWS 	25	32	20
2942	IKE 	50	33	186
2966	APMS 	53	34	244
3045	Electronic Government	41	35	52
2919	CoopIS 	23	36	18
2926	DBSEC 	37	37	38
2964	SIGCPR 	45	38	49.5
3037	E	56	39	127
3009	BNCOD 	40	40	39
2971	SEBD 	43	41	71
2974	IQ 	55	42	64
97	ICDT 	17	43	10
2990	DocEng 	49	44	46
3124	DBTA 	73	45	345.5
3016	IRMA 	68	46	174.5
3047	CRIWG 	54	47	54
2639	ADC 	51	48	41
2954	BIS 	64	49	86
1390	RIDE 	35	50	23
2977	BTW 	47	51.5	43
3050	RCIS 	71	51.5	184.5
3005	IFIP TC8 Publications	76	53	164.5
2985	FQAS 	61	54.5	59
3095	CPR 	75	54.5	151
1388	SSD 	32	56	13
2923	COSIT 	48	57	33
2955	PCI 	86	58	255.5
2982	Wirtschaftsinformatik	82	59	115
2973	SBBD 	77	60	89
3029	EJC 	84	61	123
2931	EDBT(Workshop) 	60	62.5	42
3068	Information Systems Technology and its Applications	90	62.5	145.5
2936	DBPL 	36	64	19
2641	IBM Germany Scientific Symposium Series	69	65	101
751	DS 	46	66.5	36
2939	ADVIS 	85	66.5	121
1281	WebDB 	33	68	16
2989	BDA 	57	69	60.5
2996	Practical Aspects of Knowledge Management	80	70	90.5
2983	IFIP WG8.2 	81	71	98
1395	WIDM 	63	72	48
2938	POS 	58	73	53
