Kendal Tau=0.730736145333664
idConference, conferenceName, curRank, curValue, oldRank, NPC
434,HICSS ,640,2,641,1
-1,CONF,642,-1,642,-1
1290,ICDE ,638,4,639,3
2972,ICEIS ,633,9,638,4
829,CIKM ,635,7,637,5
3017,CSCWD ,628,14,635,7
844,SIGMOD ,639,3,634,8
2948,ER (OOER) ,634,8,633,9
2945,OTM ,627,15,632,10
835,VLDB ,641,1,636,6
3075,BMEI ,621,21,631,11
2640,CAiSE ,630,12,630,12
846,DASFAA ,624,18,627,15
953,ISWC ,632,10,626,16
2959,GI,620,22,629,13
2952,ECIS ,618,24,625,17
77,PODS ,637,5,624,18
71,AFIPS ,629,13,628,14
2922,ICIS ,623,19,623,19
1383,EDBT ,631,11,622,20
2921,GIS ,622,20,619,23
2718,SSDBM ,626,16,621,21
3022,DGO ,612,30,618,24
2992,ADBIS ,613,29,617,25
3044,IIWAS ,603,39,616,26
2935,IDEAS ,616,26,615,27
3052,WAIM ,611,31,620,22
3038,IFIP TC5/WG5.5 Publications,604,38,614,28
127,ICSOC ,615,27,613,29
2941,BPM ,614,28,611,31
1283,ESWS ,617,25,610,32
2942,IKE ,592,50,609,33
2966,APMS ,589,53,608,34
3045,Electronic Government,601,41,607,35
2919,CoopIS ,619,23,606,36
2940,ICEBE ,600,42,612,30
2926,DBSEC ,605,37,605,37
2964,SIGCPR ,597,45,604,38
3037,E,586,56,603,39
3009,BNCOD ,602,40,602,40
2971,SEBD ,599,43,601,41
2974,IQ ,587,55,600,42
97,ICDT ,625,17,599,43
3047,CRIWG ,588,54,595,47
2990,DocEng ,593,49,598,44
2639,ADC ,591,51,594,48
3124,DBTA ,569,73,597,45
2954,BIS ,578,64,593,49
1390,RIDE ,607,35,592,50
3016,IRMA ,574,68,596,46
2977,BTW ,595,47,590.5,51.5
3050,RCIS ,571,71,590.5,51.5
3005,IFIP TC8 Publications,566,76,589,53
3095,CPR ,567,75,587.5,54.5
2985,FQAS ,581,61,587.5,54.5
2982,Wirtschaftsinformatik,560,82,583,59
1388,SSD ,610,32,586,56
2973,SBBD ,565,77,582,60
3029,EJC ,558,84,581,61
2923,COSIT ,594,48,585,57
2931,EDBT(Workshop) ,582,60,579.5,62.5
2955,PCI ,556,86,584,58
3068,Information Systems Technology and its Applications,552,90,579.5,62.5
2936,DBPL ,606,36,578,64
2641,IBM Germany Scientific Symposium Series,573,69,577,65
2939,ADVIS ,557,85,575.5,66.5
751,DS ,596,46,575.5,66.5
1281,WebDB ,609,33,574,68
2989,BDA ,585,57,573,69
2996,Practical Aspects of Knowledge Management,562,80,572,70
2983,IFIP WG8.2 ,561,81,571,71
3093,INFORSID,539,103,567.5,74.5
1395,WIDM ,579,63,570,72
2944,NGITS ,572,70,566,76
2938,POS ,584,58,569,73
905,NLDB ,555,87,565,77
2979,IFIP WG8.1 Publications,549,93,564,78
2916,DOOD ,598,44,563,79
2969,DILS ,563,79,562,80
3007,ICSI ,547,95,567.5,74.5
3097,GvD ,526,116,561,81
3041,GEOINFO ,529,113,560,82
919,Data Base Workshops,583,59,558.5,83.5
3074,DNIS ,540,102,551,91
2224,CIDR ,608,34,549.5,92.5
3096,IFIP11,528,114,558.5,83.5
3018,COMAD ,554,88,557,85
2981,DEXA Workshops,524,118,549.5,92.5
1389,ADL ,559,83,548,94
2946,Geographic Information Science,551,91,556,86
2976,KRDB ,570,72,555,87
2034,VDB ,564,78,553,89
2988,ICOD ,550,92,553,89
3071,W2GIS ,532,110,553,89
2994,CODAS ,538,104,547,95
917,FODO ,576,66,546,96
